id	person	company	product
K253007	Zhengzhou  Li	"Guangzhou Potent Medical Equipment Joint-Stock Co. , Ltd."	Laser Fiber (PT-OF-A-S); Laser Fiber (PT-OF-B-S); Laser Fiber (PT-OF-C-S); Laser Fiber (PT-OF-D-S); Laser Fiber (PT-OF-E-S); Laser Fiber (PT-OF-F-S)
K253035	Junrui  Liu	"Gu'An Yeolight Smart Electronics Co., Ltd."	"IPL Hair Removal Device (SYL001AZ, SYL002AZ)"
K253039	Tomoka  Nishiyama	Topcon Corporation	AUTO KERATO-REFRACTO TONOMETER TRK-3 OMNIA
K253070	Payal  Solanki	"Medline Industries, LP"	"Namic Radial Arm Band, 23 cm (DYNJRADBAND); Namic Radial Arm Band, 26 cm (DYNJRADBANDL)"
K253073	Allen  Wu	"Sunglor Technology Co., Ltd."	"LED Light Therapy Device (SG-FSM, SG-NK, SG-CT)"
K253074	Omar  Mirza	"Tandem Diabetes Care, Inc."	Tandem Mobi insulin pump with interoperable technology
K253105	Lauren  Hamilton	Hardy Diagnostics	HardyDisk AST Cefiderocol 30µg (FDC30)
K253123	Judy Seung-yeon Cho	"Classys, Inc."	CuRAS hybrid
K253168	Kim  Otto	"Arbor Endovascular, LLC"	0.014” Willow Guidewire
K253190	Edward  Liou	"Providence Medical Technology, Inc."	CORUS-LX Implant
K253197	Sierra  Robinson	Depuy Ireland UC	ATTUNE™ Total Knee System; ATTUNE™ Revision Sleeve LPS™ Femoral Adaptors
K253219	Qiang  Cheng	"Shenzhen Leaflife Technology Co., Ltd."	LeafPure-Echo (LM-LPNdA)
K253250	Adam  Rogers	"Spinal Simplicity, LLC"	Minuteman® G6 MIS Fusion Plate
K253265	Amalia  Schreier	"Aidoc Medical , Ltd."	BriefCase-Triage
K253269	Lifeng  Wang	"Ge Hualun Medical Systems Co. , Ltd."	OEC One CFD
K253290	Amy K. Pointer	"Revmedx, Inc."	XSTAT P15
K253293	James  O'Keeffe	"Vitalograph , Ltd."	VitaloJAK Clinic (Model 7100)
K253303	Ali  Amiri	"Dendrite Imaging, Inc."	Dendrite Imaging System
K253304	Jinfeng  Xiang	"Dongguan Lide Electric Appliance Co., Ltd."	"IPL Hair Removal Device (KA-10, KA-11, KA-11C, KA-11D, KA-18, KA-20, KA-21, KA-21C)"
K253310	Antonia  Perrella	"Esaote, S.P.A."	7600 Ultrasound System (MyLabC25); 7600 Ultrasound System (MyLabC30)
K253324	Mingyang  Qu	"Guangzhou Heygears IMC., Inc."	UltraPrint-Dental Denture UV
K253344	Myung Seo  Park	"Speclipse., Inc."	BELLUS-Q
K253365	Tao  Feng	"Luxcreo, Inc."	LuxCreo Flexible Partial Denture Resin
K253407	Sharon  Shachar	"Vesalio, Inc."	NeVa PV Thrombectomy Device
K253411	Jordan Lydia  Verla	Karl Storz SE & Co.Kg	Miniature Telescope for Urology (27033AA)
K253423	Marisa  Zack	"Nvision Biomedical Technologies, Inc."	ToeJack MIS Bunion System
K253448	Anoush  Frankian	"Fujifilm Sonosite, Inc."	Sonosite MT Ultrasound System
K253457	Rapaka  Shilpa	"Siemens Medical Solutions USA, Inc."	ACUSON Juniper Diagnostic Ultrasound System; ACUSON Juniper Select Diagnostic Ultrasound System
K253478	Pete  Kilpatrick	"Motive Health, Inc."	Motive™ Muscle Stimulator for Lower Back (OT01-1003)
K253487	Rapaka  Shilpa	"Siemens Medical Solutions USA, Inc."	ACUSON Maple Diagnostic Ultrasound System; ACUSON Maple Select Diagnostic Ultrasound System
K253495	Vijay  Ramadas	Siemens Healthineers AG	syngo.MR Applications (VB80)
K253513	Jessica  Huang	Premier Dental Products Company	MultiMatch Flow Chameleon AntiMicrobial Composite
K253681	Moon-Soo  Park	"Graphy, Inc."	TERA HARZ Hard Denture (THD-C-500); TERA HARZ Hard Denture (THD-C-1000); TERA HARZ Hard Denture (THD-LP-500); TERA HARZ Hard Denture (THD-LP-1000); TERA HARZ Hard Denture (THD-P-500); TERA HARZ Hard Denture (THD-P-1000); TERA HARZ Hard Denture (THD-CP-500); TERA HARZ Hard Denture (THD-CP-1000)
K253868	Candriella  Pietro	"QuietLab, LLC"	QuietLab Pro
